Gene,Description,padj_maSigPro,clusters_maSigPro,Fold_change_h_vs_c,padj_h_vs_c,Fold_change_p_vs_c,padj_p_vs_c,Fold_change_a_vs_c,padj_a_vs_c,Fold_change_r_vs_c,padj_r_vs_c,Fold_change_a_vs_r,padj_a_vs_r,Fold_change_h_vs_a,padj_h_vs_a
TCAL_08534,Protein of unknown function,3.26E-05,5,NA,NA,0.418269596,0.038487892,0.377391133,0.054364194,NA,NA,-0.377798013,0.069609475,NA,NA
TCAL_08536,Similar to Cyp6a14 Probable cytochrome P450 6a14 (Drosophila melanogaster),7.12E-09,1,NA,NA,NA,NA,NA,NA,1.210577875,6.55E-07,0.6918934,0.027421758,NA,NA
TCAL_08545,Similar to zig-4 Zwei Ig domain protein zig-4 (Caenorhabditis elegans),0.000124029,6,-0.322870918,0.03410956,-0.271385353,0.07349833,-0.373508149,0.001704694,NA,NA,NA,NA,NA,NA
TCAL_08547,Similar to entpd7 Ectonucleoside triphosphate diphosphohydrolase 7 (Xenopus tropicalis),0.000377158,4,NA,NA,NA,NA,NA,NA,NA,NA,0.545603713,0.097587667,NA,NA
TCAL_08560,Similar to SLC2A13 Proton myo-inositol cotransporter (Homo sapiens),0.000673222,5,NA,NA,NA,NA,NA,NA,-0.491582136,0.013729334,-0.540132905,0.005866651,NA,NA
TCAL_08561,Similar to Amy4N Alpha-amylase 4N (Drosophila ananassae),NA,NA,NA,NA,NA,NA,-0.537943111,0.027758778,NA,NA,NA,NA,NA,NA
TCAL_08563,"Similar to Cyp301a1 Probable cytochrome P450 301a1, mitochondrial (Drosophila melanogaster)",2.67E-07,2,NA,NA,0.35150282,0.002719584,0.419389827,6.94E-05,NA,NA,NA,NA,NA,NA
TCAL_08565,Similar to ngdn Neuroguidin (Xenopus tropicalis),0.000567853,6,NA,NA,-0.302611088,0.095313683,-0.333949327,0.03089559,NA,NA,NA,NA,NA,NA
TCAL_08592,Similar to nrf-6 Nose resistant to fluoxetine protein 6 (Caenorhabditis elegans),4.34E-18,3,0.659691624,1.62E-06,0.73209061,1.14E-08,1.015414465,4.79E-18,0.472225655,0.00119215,-0.54318881,2.31E-05,-0.355722842,0.068374316
TCAL_08613,"Similar to FBP1 Fructose-1,6-bisphosphatase 1 (Sus scrofa)",0.000574489,1,NA,NA,NA,NA,0.252091175,0.061126647,0.317317489,0.007956025,NA,NA,NA,NA
TCAL_08618,Similar to eIF5 Eukaryotic translation initiation factor 5 (Drosophila melanogaster),2.49E-07,8,NA,NA,NA,NA,NA,NA,-0.452079878,2.87E-06,-0.248089402,0.059231495,NA,NA
TCAL_08621,fatty acid-binding homolog 5-like,6.02E-06,4,NA,NA,-0.618248263,0.06082493,-0.733596324,0.008703076,NA,NA,0.788270422,0.004500378,NA,NA
TCAL_08629,Similar to Tret1 Facilitated trehalose transporter Tret1 (Apis mellifera ligustica),1.86E-14,3,0.542918201,0.049005277,0.941355891,4.69E-07,1.115865841,2.02E-10,0.632246469,0.002444116,-0.483619371,0.042923019,-0.572947639,0.03178222
TCAL_08630,Similar to SULT1C2 Sulfotransferase 1C2 (Homo sapiens),NA,NA,NA,NA,NA,NA,NA,NA,-0.328469283,0.074932936,NA,NA,NA,NA
TCAL_08657,Similar to eIF2alpha Eukaryotic translation initiation factor 2 subunit 1 (Drosophila melanogaster),0.001460762,6,NA,NA,NA,NA,-0.226336163,0.008703076,NA,NA,NA,NA,NA,NA
TCAL_08669,Similar to Zfp2 Zinc finger protein 2 (Mus musculus),2.44E-06,9,NA,NA,NA,NA,NA,NA,-0.267960208,0.086280048,-0.336931088,0.016168886,NA,NA
TCAL_08675,"Similar to norpA 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase (Drosophila melanogaster)",8.29E-37,3,1.015758018,1.95E-23,1.204409253,3.03E-34,1.731302618,1.16E-72,0.526721871,1.63E-06,-1.204580747,5.40E-35,-0.7155446,6.29E-11
TCAL_08677,Protein of unknown function,0.000102536,7,NA,NA,0.424545697,0.09647631,0.524719606,0.01073302,0.438444153,0.054662604,NA,NA,NA,NA
TCAL_08698,Similar to CG4050 Transmembrane and TPR repeat-containing protein CG4050 (Drosophila melanogaster),1.09E-05,5,NA,NA,NA,NA,NA,NA,NA,NA,-0.577224085,0.049038778,-0.669753549,0.055466726
TCAL_08700,Protein of unknown function,7.06E-05,2,0.30678583,0.011494295,0.236954382,0.070026921,0.227366844,0.059335363,NA,NA,NA,NA,NA,NA
TCAL_08706,Protein of unknown function,0.000479302,3,NA,NA,0.379861484,0.006899755,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_08725,Similar to Atpalpha Sodium/potassium-transporting ATPase subunit alpha (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.451615898,0.045875827,NA,NA
TCAL_08732,Protein of unknown function,2.25E-05,7,NA,NA,0.281902574,0.002539064,0.189558361,0.082513784,0.254476981,0.006503153,NA,NA,NA,NA
TCAL_08741,Similar to ccdc115 Coiled-coil domain-containing protein 115 (Danio rerio),1.56E-05,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_08754,Similar to ARRDC3 Arrestin domain-containing protein 3 (Bos taurus),NA,NA,NA,NA,-0.464457959,0.085072896,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_08770,Similar to Ppp1r14c Protein phosphatase 1 regulatory subunit 14C (Mus musculus),6.79E-06,4,-0.38322189,0.03410956,-0.393136496,0.012074822,-0.330539939,0.038497957,NA,NA,NA,NA,NA,NA
TCAL_08774,Similar to slc16a10 Monocarboxylate transporter 10 (Danio rerio),3.66E-08,5,NA,NA,0.250885431,0.044724619,0.326869467,0.001368258,NA,NA,-0.359721196,0.00033973,NA,NA
TCAL_08781,Similar to SLC1A1 Excitatory amino acid transporter 3 (Bos taurus),0.000279646,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_08788,cardioactive peptide,NA,NA,-1.020887663,0.046368601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_08795,Similar to clp-1 Calpain clp-1 (Caenorhabditis elegans),0.001094221,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_08811,Similar to MARF1 Meiosis regulator and mRNA stability factor 1 (Homo sapiens),2.15E-05,8,NA,NA,-0.557137365,0.004325281,-0.441224624,0.028952033,NA,NA,NA,NA,NA,NA
TCAL_08820,Similar to ELOVL6 Elongation of very long chain fatty acids protein 6 (Gallus gallus),0.000493519,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_08825,Similar to Cha Choline O-acetyltransferase (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,-0.512838598,0.000203329,NA,NA,0.4114359,0.008635428,NA,NA
TCAL_08834,Similar to MFSD8 Major facilitator superfamily domain-containing protein 8 (Homo sapiens),0.001305237,4,NA,NA,NA,NA,NA,NA,NA,NA,0.333635711,0.096252206,NA,NA
TCAL_08836,suppressor SRP40-like,0.000237744,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_08837,Similar to PSMD10 26S proteasome non-ATPase regulatory subunit 10 (Homo sapiens),NA,NA,NA,NA,NA,NA,NA,NA,-0.253773255,0.06037966,NA,NA,NA,NA
TCAL_08838,Similar to adhA Probable formaldehyde dehydrogenase AdhA (Bacillus subtilis (strain 168)),2.20E-07,6,NA,NA,-0.356718417,0.030496361,-0.383772701,0.009687799,-0.499163407,0.000164068,NA,NA,NA,NA
TCAL_08839,Protein of unknown function,NA,NA,NA,NA,NA,NA,-0.845613226,0.004373024,-0.685462011,0.036017939,NA,NA,NA,NA
TCAL_08840,actin-related 2 precursor,4.02E-18,2,0.626579676,0.016720928,0.718165065,0.001111446,0.951256876,1.01E-06,-0.582975952,0.011889012,-1.534232827,7.99E-18,NA,NA
TCAL_08845,Similar to CG31145 Extracellular serine/threonine protein CG31145 (Drosophila melanogaster),2.86E-09,8,-0.347153709,0.026333562,-0.484261895,5.53E-05,-0.331946456,0.01209084,NA,NA,NA,NA,NA,NA
TCAL_08850,Similar to ACSL3 Long-chain-fatty-acid--CoA ligase 3 (Homo sapiens),0.001213858,2,1.193484893,0.050303688,1.095408852,0.05488956,1.08629243,0.036725146,NA,NA,NA,NA,NA,NA
TCAL_08873,Similar to slc22a6-a Solute carrier family 22 member 6-A (Xenopus laevis),9.90E-06,6,NA,NA,-0.449082677,0.038441102,-0.545292039,0.003076089,-0.436578636,0.032499702,NA,NA,NA,NA
TCAL_08876,Protein of unknown function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215499704,0.096419195,NA,NA
TCAL_08877,Similar to tio Protein tiptop (Drosophila melanogaster),3.77E-06,1,NA,NA,NA,NA,NA,NA,1.181711956,0.003057173,NA,NA,NA,NA
TCAL_08906,Similar to GAL3ST1 Galactosylceramide sulfotransferase (Bos taurus),0.001308609,4,NA,NA,NA,NA,NA,NA,0.458667018,0.076265308,0.619124852,0.006958314,NA,NA
TCAL_08914,Similar to FKBP70 70 kDa peptidyl-prolyl isomerase (Triticum aestivum),NA,NA,NA,NA,NA,NA,NA,NA,1.120454572,0.049095997,NA,NA,NA,NA
TCAL_08927,Similar to MFSD5 Molybdate-anion transporter (Homo sapiens),0.000495619,8,NA,NA,-0.609510585,0.028750414,-0.507175792,0.070651764,NA,NA,NA,NA,NA,NA
TCAL_08930,"Similar to MICU3 Calcium uptake protein 3, mitochondrial (Homo sapiens)",4.02E-07,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.248533743,0.055117538,NA,NA
TCAL_08941,Protein of unknown function,1.46E-05,7,NA,NA,NA,NA,0.478484021,0.049902154,NA,NA,NA,NA,NA,NA
TCAL_08949,Similar to Sb Serine proteinase stubble (Drosophila melanogaster),7.74E-12,2,0.352783452,0.002247111,0.342307577,0.001713981,0.494205476,1.33E-07,NA,NA,-0.551686227,1.78E-09,NA,NA
TCAL_08950,Protein of unknown function,6.24E-11,5,NA,NA,NA,NA,NA,NA,-0.600555679,0.000112505,-0.750224066,2.64E-07,-0.415020538,0.074580975
TCAL_08955,Similar to AHCYL2 Adenosylhomocysteinase 3 (Homo sapiens),4.82E-15,3,0.305648013,0.000211602,0.363946637,8.34E-07,0.427748173,8.03E-10,0.384659582,6.37E-08,NA,NA,NA,NA
TCAL_08956,Similar to SPCC663.09c Uncharacterized oxidoreductase C663.09c (Schizosaccharomyces pombe (strain 972 / ATCC 24843)),2.95E-05,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.213034738,0.061828666,NA,NA
TCAL_08964,Protein of unknown function,1.30E-09,9,NA,NA,-0.480642434,0.083515609,NA,NA,-1.302602758,5.17E-13,-1.224681702,2.06E-11,NA,NA
TCAL_08969,Similar to SFXN2 Sideroflexin-2 (Homo sapiens),0.000108767,2,NA,NA,NA,NA,0.250805551,0.032684051,NA,NA,NA,NA,NA,NA
TCAL_08970,Protein of unknown function,1.77E-12,8,NA,NA,-0.36684681,0.019818426,-0.451027037,0.000898213,-0.590979696,2.75E-06,NA,NA,NA,NA
TCAL_08979,Protein of unknown function,NA,NA,NA,NA,NA,NA,-1.07117016,0.037768968,NA,NA,NA,NA,NA,NA
TCAL_08981,Similar to Soma ferritin (Lymnaea stagnalis),3.12E-11,2,NA,NA,0.335774831,0.00615983,0.609514848,4.07E-10,NA,NA,-0.612973531,3.57E-10,-0.385227486,0.003326208
TCAL_08982,Similar to Soma ferritin (Lymnaea stagnalis),7.73E-20,7,0.515543404,0.004707254,0.719414683,1.21E-06,0.904999964,5.61E-11,1.14837238,7.81E-18,NA,NA,NA,NA
TCAL_08996,Protein of unknown function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.910193131,0.087372959,NA,NA
TCAL_09007,Protein of unknown function,6.49E-08,2,NA,NA,NA,NA,0.390479464,0.006638456,NA,NA,-0.565014879,8.64E-06,NA,NA
TCAL_09015,Similar to CarT Carcinine transporter (Drosophila melanogaster),0.003354446,9,NA,NA,NA,NA,NA,NA,-0.347262811,0.056404002,-0.397482635,0.022312576,NA,NA
TCAL_09016,Similar to SLC18B1 MFS-type transporter SLC18B1 (Homo sapiens),NA,NA,NA,NA,NA,NA,NA,NA,0.326532979,0.088425241,NA,NA,NA,NA
TCAL_09021,Similar to Acox3 Peroxisomal acyl-coenzyme A oxidase 3 (Mus musculus),0.000762459,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.34887129,0.053244998,NA,NA
TCAL_09026,Similar to vrs-2 Valine--tRNA ligase (Caenorhabditis elegans),6.26E-05,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_09027,Similar to Fah Fumarylacetoacetase (Mus musculus),NA,NA,NA,NA,NA,NA,0.260144333,0.050284779,NA,NA,NA,NA,NA,NA
TCAL_09055,Similar to syvn1-b E3 ubiquitin-protein ligase synoviolin B (Xenopus laevis),0.001804963,4,NA,NA,NA,NA,NA,NA,NA,NA,0.283098573,0.016330384,NA,NA
TCAL_09057,Similar to Nphs1 Nephrin (Mus musculus),0.000679859,3,NA,NA,NA,NA,0.625237024,0.002771458,NA,NA,NA,NA,NA,NA
TCAL_09060,transmembrane 178B,0.002030869,7,NA,NA,NA,NA,0.637739064,0.070156156,0.642507351,0.073388144,NA,NA,NA,NA
TCAL_09070,Similar to aos Protein giant-lens (Drosophila melanogaster),6.31E-14,1,NA,NA,NA,NA,NA,NA,0.593231622,1.05E-06,0.333517598,0.030261564,-0.378018002,0.054173139
TCAL_09076,Similar to LRIG1 Leucine-rich repeats and immunoglobulin-like domains protein 1 (Homo sapiens),NA,NA,NA,NA,NA,NA,0.753457897,0.075986258,NA,NA,NA,NA,NA,NA
TCAL_09088,Similar to Sox14 Putative transcription factor SOX-14 (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.535086196,0.031157544,NA,NA
TCAL_09106,Similar to CapaR Neuropeptides capa receptor (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,0.622204721,0.010786758,NA,NA,NA,NA,NA,NA
TCAL_09115,Similar to Xbp1 X-box-binding protein 1 (Mus musculus),4.31E-08,4,-1.08034962,0.004554246,-1.31710622,5.59E-05,-1.201909064,0.000203665,NA,NA,NA,NA,NA,NA
TCAL_09117,apolipo L2-like,0.000582169,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_09131,BTB POZ domain-containing 6-B-like,1.08E-07,4,NA,NA,-0.54505117,0.038441102,NA,NA,NA,NA,0.672506448,0.002240564,NA,NA
TCAL_09148,Similar to foxf1-b Forkhead box protein F1-B (Xenopus laevis),0.002018957,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_09154,Protein of unknown function,1.40E-05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_09156,polycystic kidney disease 1 like 1-,0.000199556,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.389632296,0.037106134
TCAL_09158,Protein of unknown function,NA,NA,NA,NA,-0.845422147,0.073285526,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_09165,Similar to L3MBTL3 Lethal(3)malignant brain tumor-like protein 3 (Homo sapiens),0.000443834,2,NA,NA,NA,NA,0.436367801,0.042935173,NA,NA,NA,NA,NA,NA
TCAL_09168,Protein of unknown function,0.000704795,4,NA,NA,-0.42153418,0.036303824,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_09236,Similar to Parp16 Mono [ADP-ribose] polymerase PARP16 (Rattus norvegicus),0.002688441,2,NA,NA,0.214035711,0.050502898,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_09239,Similar to HPGD 15-hydroxyprostaglandin dehydrogenase [NAD(+)] (Cavia porcellus),NA,NA,NA,NA,NA,NA,-0.318693533,0.075300478,NA,NA,NA,NA,NA,NA
TCAL_09255,Similar to IMPA6 Importin subunit alpha-6 (Arabidopsis thaliana),0.001315484,2,NA,NA,NA,NA,0.377960733,0.024536371,NA,NA,NA,NA,NA,NA
TCAL_09258,cuticle 7-like,NA,NA,NA,NA,2.061365378,0.031397855,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_09270,cuticle -like,NA,NA,NA,NA,NA,NA,NA,NA,2.313636156,0.041239382,2.365136586,0.042899356,NA,NA
TCAL_09280,Similar to GFPT2 Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 (Homo sapiens),9.85E-05,5,NA,NA,NA,NA,NA,NA,-0.534984261,0.002012057,-0.439890697,0.028155655,NA,NA
TCAL_09319,pirin-like,5.64E-15,2,0.48288593,3.37E-05,0.512154769,2.81E-06,0.640421141,2.78E-10,NA,NA,-0.565581043,6.03E-08,NA,NA
TCAL_09322,Protein of unknown function,NA,NA,-1.265491042,0.05714424,NA,NA,-1.797626858,0.000260567,NA,NA,1.27517359,0.038769223,NA,NA
TCAL_09330,Protein of unknown function,1.78E-06,8,NA,NA,-0.797593826,0.038441102,NA,NA,-1.181766402,0.000216108,NA,NA,NA,NA
TCAL_09341,Similar to CG8399 Putative ferric-chelate reductase 1 homolog (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,-0.336685498,0.037187426,NA,NA,NA,NA,NA,NA
TCAL_09353,Similar to Unc5c Netrin receptor UNC5C (Rattus norvegicus),0.000194863,1,NA,NA,NA,NA,NA,NA,0.432458996,0.015180314,NA,NA,NA,NA
TCAL_09382,fasciclin-3 isoform X1,NA,NA,NA,NA,NA,NA,0.336208951,0.029267744,NA,NA,NA,NA,NA,NA
TCAL_09391,Protein of unknown function,0.000719852,4,NA,NA,NA,NA,NA,NA,0.67251367,0.010830734,0.557007651,0.067293146,NA,NA
TCAL_09394,Similar to CG8399 Putative ferric-chelate reductase 1 homolog (Drosophila melanogaster),3.29E-07,4,-0.387224512,0.021110272,-0.375000245,0.014018695,-0.517636085,5.18E-05,NA,NA,0.39311515,0.007790996,NA,NA
TCAL_09395,Similar to Samui BAG domain-containing protein Samui (Bombyx mori),9.37E-06,8,-0.303223023,0.07606534,-0.522097042,5.30E-06,NA,NA,-0.391900946,0.001246977,NA,NA,NA,NA
TCAL_09415,Similar to Slc5a6 Sodium-dependent multivitamin transporter (Rattus norvegicus),3.84E-05,5,NA,NA,NA,NA,0.376553558,0.057312744,NA,NA,-0.369933394,0.082134713,-0.434398308,0.085256025
TCAL_09416,Similar to P4HA2 Prolyl 4-hydroxylase subunit alpha-2 (Gallus gallus),NA,NA,NA,NA,-0.617131312,0.016735108,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_09432,Similar to DBP D site-binding protein (Homo sapiens),1.83E-05,6,NA,NA,NA,NA,NA,NA,-0.460989075,0.000215186,-0.341021375,0.022187045,NA,NA
TCAL_09435,Similar to Hex-t2 Hexokinase type 2 (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,0.275379713,0.085150358,NA,NA,NA,NA,NA,NA
TCAL_09442,Similar to PRSS8 Prostasin (Homo sapiens),0.000273641,6,NA,NA,NA,NA,-0.528073158,0.012495179,NA,NA,NA,NA,NA,NA
TCAL_09443,Protein of unknown function,0.000360407,1,NA,NA,NA,NA,NA,NA,0.970352443,0.060862547,NA,NA,NA,NA
TCAL_09446,Protein of unknown function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41345833,0.068487279,NA,NA
TCAL_09455,Similar to dpyd Dihydropyrimidine dehydrogenase [NADP(+)] (Danio rerio),0.000741269,8,NA,NA,NA,NA,NA,NA,-0.35573686,0.014492134,NA,NA,NA,NA
TCAL_09466,nad dependent epimerase dehydratase,1.31E-19,8,NA,NA,-0.626506494,2.63E-10,-0.555800849,1.48E-08,-0.490287167,1.13E-06,NA,NA,0.368742907,0.007100554
TCAL_09468,nad dependent epimerase dehydratase,3.96E-09,9,NA,NA,NA,NA,NA,NA,-0.644472528,2.06E-05,-0.533462377,0.001410221,NA,NA
TCAL_09470,Similar to GRDP2 Glycine-rich domain-containing protein 2 (Arabidopsis thaliana),8.57E-06,6,NA,NA,NA,NA,NA,NA,-0.323745089,0.016663424,NA,NA,NA,NA
TCAL_09476,Protein of unknown function,3.72E-07,1,NA,NA,NA,NA,NA,NA,0.88637782,0.006231781,1.277102315,1.10E-05,NA,NA
TCAL_09482,Similar to Heat shock 70 kDa protein cognate 4 (Manduca sexta),NA,NA,NA,NA,NA,NA,NA,NA,-0.598745393,0.038436147,NA,NA,NA,NA
TCAL_09497,Protein of unknown function,6.86E-12,1,NA,NA,NA,NA,NA,NA,1.441673274,6.88E-06,1.507440578,2.91E-06,NA,NA
TCAL_09498,Protein of unknown function,0.001792183,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_09510,Similar to CERK Ceramide kinase (Homo sapiens),NA,NA,NA,NA,NA,NA,NA,NA,0.688916627,0.074932936,NA,NA,NA,NA
TCAL_09514,"Similar to mRpS7 28S ribosomal protein S7, mitochondrial (Drosophila melanogaster)",NA,NA,NA,NA,NA,NA,-0.310382896,0.062155314,NA,NA,NA,NA,NA,NA
TCAL_09517,Similar to FR FMRFamide receptor (Drosophila melanogaster),0.004998581,5,NA,NA,NA,NA,0.400279705,0.08400499,NA,NA,NA,NA,NA,NA
TCAL_09525,Similar to DDB_G0284059 SET and MYND domain-containing protein DDB_G0284059 (Dictyostelium discoideum),0.000737683,1,NA,NA,NA,NA,0.546374319,0.047868065,0.504333223,0.090926821,NA,NA,NA,NA
TCAL_09530,Similar to Tret1 Facilitated trehalose transporter Tret1 (Culex quinquefasciatus),1.83E-10,1,0.436266085,0.016372544,0.545058267,0.000176749,0.415122631,0.008783254,0.72234601,2.07E-08,0.307223379,0.096390498,NA,NA
TCAL_09547,Similar to VDR Vitamin D3 receptor (Gallus gallus),6.58E-08,2,NA,NA,NA,NA,0.524575963,0.011282686,NA,NA,-0.780175763,1.47E-05,NA,NA
TCAL_09565,Protein of unknown function,0.000504614,7,NA,NA,NA,NA,NA,NA,1.44796351,0.089504755,NA,NA,NA,NA
TCAL_09596,Protein of unknown function,1.61E-09,2,NA,NA,0.609094029,0.002865213,0.649463842,0.000654123,NA,NA,-0.744850679,5.65E-05,NA,NA
TCAL_09612,Protein of unknown function,NA,NA,NA,NA,NA,NA,0.240009619,0.07754115,NA,NA,NA,NA,NA,NA
TCAL_09614,Similar to sup-9 Two pore potassium channel protein sup-9 (Caenorhabditis elegans),9.03E-05,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.619615559,0.022878696,NA,NA
TCAL_09622,Similar to Csad Cysteine sulfinic acid decarboxylase (Rattus norvegicus),0.001408865,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_09634,Similar to CD63 CD63 antigen (Bos taurus),NA,NA,NA,NA,NA,NA,0.231242721,0.093844443,NA,NA,NA,NA,NA,NA
TCAL_09642,Protein of unknown function,3.65E-08,1,NA,NA,NA,NA,NA,NA,0.509954115,0.001246977,NA,NA,NA,NA
TCAL_09651,Protein of unknown function,5.35E-07,9,NA,NA,NA,NA,NA,NA,-1.097539835,1.93E-07,-1.000510585,4.70E-06,NA,NA
TCAL_09654,Similar to WIPI2 WD repeat domain phosphoinositide-interacting protein 2 (Gallus gallus),NA,NA,NA,NA,NA,NA,NA,NA,-0.277497814,0.075651478,-0.321935879,0.030261564,NA,NA
TCAL_09655,Similar to XKR4 XK-related protein 4 (Homo sapiens),3.83E-07,2,NA,NA,NA,NA,0.35020956,0.035702753,NA,NA,-0.530777382,0.00020159,NA,NA
TCAL_09656,Similar to VPS13A Vacuolar protein sorting-associated protein 13A (Homo sapiens),0.001186886,3,0.635381474,0.096742722,0.67497953,0.030863512,0.764331725,0.005464014,0.55129517,0.096488541,NA,NA,NA,NA
TCAL_09657,Similar to TSEN2 tRNA-splicing endonuclease subunit Sen2 (Gallus gallus),7.75E-06,3,NA,NA,0.763714498,0.0022557,0.837297291,0.00028551,NA,NA,NA,NA,NA,NA
TCAL_09671,Similar to dapF Diaminopimelate epimerase (Psychrobacter sp. (strain PRwf-1)),0.000110686,6,NA,NA,NA,NA,-0.58318717,0.010568462,-0.640970459,0.003447336,NA,NA,NA,NA
TCAL_09672,Similar to FAM214A Protein FAM214A (Gallus gallus),9.95E-06,4,NA,NA,NA,NA,NA,NA,0.187428971,0.050376318,0.186982853,0.061465317,NA,NA
TCAL_09673,Similar to PGAM2 Phosphoglycerate mutase 2 (Homo sapiens),NA,NA,NA,NA,NA,NA,0.397876379,0.092673838,NA,NA,NA,NA,NA,NA
TCAL_09678,Similar to NAGK N-acetyl-D-glucosamine kinase (Homo sapiens),4.80E-05,1,NA,NA,NA,NA,NA,NA,0.296880873,0.079790544,0.323479349,0.054542026,NA,NA
TCAL_09683,Similar to CML11 Calmodulin-like protein 11 (Arabidopsis thaliana),NA,NA,NA,NA,-0.335822784,0.077016744,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_09685,Similar to glt1 Putative glutamate synthase [NADPH] (Schizosaccharomyces pombe (strain 972 / ATCC 24843)),NA,NA,NA,NA,NA,NA,0.237693281,0.066172229,NA,NA,NA,NA,NA,NA
TCAL_09691,Similar to Trypsin II-P29 (Gallus gallus),1.99E-05,6,-0.565611092,0.048270669,-0.698842065,0.001745636,-0.572776271,0.01342928,NA,NA,NA,NA,NA,NA
TCAL_09692,"Similar to ES1 protein homolog, mitochondrial (Rattus norvegicus)",0.0001288,2,0.557375776,0.046368601,0.558961492,0.022165146,0.577549234,0.010559595,NA,NA,NA,NA,NA,NA
TCAL_09693,Similar to SPCC1494.01 UPF0676 protein C1494.01 (Schizosaccharomyces pombe (strain 972 / ATCC 24843)),1.88E-22,2,0.568049738,4.16E-06,0.665362506,4.49E-09,0.807322578,4.30E-14,NA,NA,-0.762786496,1.81E-12,NA,NA
TCAL_09696,Similar to Pal2 Peptidyl-alpha-hydroxyglycine alpha-amidating lyase 2 (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,0.339337924,0.018169526,NA,NA,NA,NA,NA,NA
TCAL_09698,Similar to mbl Protein muscleblind (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,-0.443428563,0.006998736,NA,NA,0.376239873,0.044987854,NA,NA
TCAL_09700,Similar to ENGASE Cytosolic endo-beta-N-acetylglucosaminidase (Homo sapiens),0.000129752,6,NA,NA,NA,NA,NA,NA,NA,NA,-0.254348417,0.037022324,NA,NA
TCAL_09703,Protein of unknown function,NA,NA,NA,NA,1.910708116,0.043910128,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_09704,Similar to ANO10 Anoctamin-10 (Homo sapiens),8.56E-08,2,NA,NA,0.483710775,0.01550052,NA,NA,NA,NA,-0.387488863,0.086952183,NA,NA
TCAL_09710,Similar to amt-1 Putative ammonium transporter 1 (Caenorhabditis elegans),2.66E-10,8,NA,NA,-0.749861812,0.000368304,-0.76547072,0.000148276,-0.894368627,3.73E-06,NA,NA,0.597678993,0.037513437
TCAL_09712,Similar to Glipr2 Golgi-associated plant pathogenesis-related protein 1 (Mus musculus),NA,NA,NA,NA,NA,NA,-0.426486701,0.097865697,-0.465590472,0.060854159,NA,NA,NA,NA
TCAL_09713,Similar to SNTG1 Gamma-1-syntrophin (Homo sapiens),0.000130837,7,NA,NA,NA,NA,0.376338965,0.069301802,NA,NA,NA,NA,-0.467923093,0.059773117
TCAL_09716,Similar to oxlT Oxalate:formate antiporter (Oxalobacter formigenes),1.74E-19,8,NA,NA,-0.424841556,0.000350583,-0.428106821,0.000177667,-0.760484887,1.86E-13,-0.332378066,0.019108942,NA,NA
TCAL_09724,Similar to ccdc149 Coiled-coil domain-containing protein 149 (Xenopus laevis),0.000138324,9,NA,NA,NA,NA,NA,NA,NA,NA,-0.941343476,0.016330384,NA,NA
